name,deadline,domain,mode,prize,link
Agentforce Virtual Hackathon,2025-05-01,Machine Learning/AI,Online,$140000,https://agentforcehackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
HP & NVIDIA Developer Challenge,2025-06-10,Machine Learning/AI,Online,$70000,https://hpaistudio.devpost.com/?ref_feature=challenge&ref_medium=discover
Perplexity Hackathon,2025-05-29,Machine Learning/AI,Online,$35000,https://perplexityhackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
SpaceHack 2025: Space Data Challenge,2025-07-01,Machine Learning/AI,Online,$500,https://spacehack2025.devpost.com/?ref_feature=challenge&ref_medium=discover
HOF Hacks,2025-04-20,Machine Learning/AI,Offline,$2060,https://hof-hacks.devpost.com/?ref_feature=challenge&ref_medium=discover
FutureHacks 7,2025-04-20,Machine Learning/AI,Online,$1175,https://futurehacks-7.devpost.com/?ref_feature=challenge&ref_medium=discover
Pike Labs App Challenge,2025-05-31,Machine Learning/AI,Online,$3000,https://pike-labs-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
Google Developer Group (GDG) @ Mason: BuildAthon,2025-04-25,Machine Learning/AI,Offline,,https://gdg-gmu-buildathon.devpost.com/?ref_feature=challenge&ref_medium=discover
hack4.ai,2025-04-22,Machine Learning/AI,Offline,$17500,https://hack4-ai.devpost.com/?ref_feature=challenge&ref_medium=discover
Beyond the Code: Human-Centered Tech,2025-06-01,Machine Learning/AI,Online,,https://beyondthecode.devpost.com/?ref_feature=challenge&ref_medium=discover
Dawson College AI Making Challenge,2025-05-05,Machine Learning/AI,Online,$800,https://dawsoncollege-ai-making-2025.devpost.com/?ref_feature=challenge&ref_medium=discover
AI Agent Showcase,2025-05-04,Machine Learning/AI,Offline,$500,https://ai-agents-2025.devpost.com/?ref_feature=challenge&ref_medium=discover
Test Hackathon,2025-09-29,Machine Learning/AI,Offline,$4500,https://climatehackathonnyc.devpost.com/?ref_feature=challenge&ref_medium=discover
Massachusetts Space Week 2025 Space Medicine Hackathon,2025-04-25,Machine Learning/AI,Offline,$100,https://2025-space-medicine-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
World’s Largest Hackathon presented by Bolt,,Machine Learning/AI,Online,$1000000,https://worldslargesthackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
AI in Action,,Machine Learning/AI,Online,,https://ai-in-action.devpost.com/?ref_feature=challenge&ref_medium=discover
AI Agent Development Kit Hackathon with Google Cloud,,Machine Learning/AI,Online,$50000,https://googlecloudmultiagents.devpost.com/?ref_feature=challenge&ref_medium=discover
PearAI Hackathon,,Machine Learning/AI,Online,$10000,https://pearai-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
